_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
11,A0599338,GRAYCIE,CAT,GRAY,,DOMESTIC SH,SPAYED,4/8/08,16 YEARS,6/16/24,MED R,STRAY,MEDVET,,6/19/24,RTO,,HEALTHY,ALMADEN EX / MCABEE,SAN JOSE,6/19/24
12,A0607414,SELENA,CAT,ORANGE,WHITE,DOMESTIC SH,SPAYED,4/22/08,15 YEARS,8/3/23,DEAD,DISPO REQ,OTC OWNED,,8/3/23,DISPOSAL,,DEAD,,,8/3/23
13,A0612332,PAIGOW,DOG,BLACK,RED,YORKSHIRE TERR,NEUTERED,7/7/08,15 YEARS,6/6/24,DEAD,DISPO REQ,OTC OWNED,,6/6/24,DISPOSAL,,DEAD,,SAN JOSE,6/6/24
14,A0616738,MARNIE,DOG,RED,SABLE,SHIBA INU,SPAYED,1/21/07,17 YEARS,7/1/23,MED R,STRAY,MEDVET,,7/5/23,RTO,,MED R,BLOSSOM HILL RD. CHICK FIL A,SAN JOSE,7/5/23
15,A0620931,NACHO,DOG,BROWN,,BASSET HOUND,MALE,7/6/08,15 YEARS,12/23/23,DEAD,DISPO REQ,OTC,,12/23/23,DISPOSAL,,DEAD,SAN JOSE,SAN JOSE,12/23/23
16,A0631371,FEFE,CAT,BROWN,,DOMESTIC SH,NEUTERED,4/22/05,18 YEARS,10/31/23,DEAD,DISPO REQ,OTC,,10/31/23,DISPOSAL,,DEAD,EASTRIDGE DR,SAN JOSE,10/31/23
17,A0634505,VEGAS,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,3/24/09,14 YEARS,7/19/23,MED M,STRAY,FIELD,,7/21/23,EUTH,U MED SEV,MED SEV,YALE DR X VASSAR DR,SAN JOSE,7/21/23
18,A0650982,BABY,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,4/3/09,14 YEARS,3/29/24,DEAD,DISPO REQ,OTC OWNED,,3/29/24,DISPOSAL,,DEAD,,SAN JOSE,3/29/24
19,A0667846,BANDITO,CAT,BLACK,,DOMESTIC SH,NEUTERED,8/30/09,14 YEARS,5/28/24,MED R,OWNER SUR,OTC,,6/17/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,6/26/24
20,A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,1/14/09,15 YEARS,5/28/24,MED R,OWNER SUR,OTC,,,,,,,SAN JOSE,6/27/24
21,A0671776,SONIC,DOG,GOLD,,MALTESE,NEUTERED,7/2/09,14 YEARS,9/3/23,DEAD,DISPO REQ,OTC OWNED,,9/3/23,DISPOSAL,,DEAD,,SAN JOSE,9/3/23
22,A0671776,SONIC,DOG,GOLD,,MALTESE,NEUTERED,7/2/09,14 YEARS,9/3/23,DEAD,DISPO REQ,OTC OWNED,,9/3/23,DISPOSAL,,DEAD,,SAN JOSE,9/3/23
23,A0675645,JASPER,DOG,BROWN,WHITE,YORKSHIRE TERR,NEUTERED,10/22/08,14 YEARS,7/3/23,DEAD,DISPO REQ,OTC,,7/3/23,DISPOSAL,,DEAD,"1200 BLOCK HESTER AVE, SAN JOSE CA 95126",SAN JOSE,7/3/23
24,A0679497,MUNECA,DOG,WHITE,BROWN,LHASA APSO,SPAYED,9/18/06,17 YEARS,6/14/24,MED M,STRAY,OTC,,6/16/24,TRANSFER,COUNTY,,S BASCOM AVE/SCOTT ST,COUNTY,6/16/24
25,A0681034,HARLEY,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,,NO AGE,8/26/23,MED M,STRAY,OTC,,8/26/23,RTO,,,SERENADE WAY/SONATA WAY,SAN JOSE,8/26/23
26,A0681034,HARLEY,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,,NO AGE,1/4/24,HEALTHY,STRAY,OTC,,1/4/24,RTO,MICROCHIP,HEALTHY,HARMONY LN / SERENADE WAY,SAN JOSE,1/4/24
27,A0681103,MOCHI,DOG,TAN,WHITE,CAIRN TERRIER,NEUTERED,3/29/08,16 YEARS,4/18/24,DEAD,DISPO REQ,OTC,,4/18/24,DISPOSAL,,DEAD,,SAN JOSE,4/18/24
28,A0681240,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2/27/24,DEAD,DISPO REQ,OTC,,2/27/24,DISPOSAL,,DEAD,RAMSTREE DR/HOSTETTER RD,SAN JOSE,2/27/24
29,A0685343,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,4/28/09,15 YEARS,4/2/24,MED SEV,STRAY,OTC,,4/2/24,EUTH,U MED SEV,MED SEV,SAN BERNARDINO WAY X COSTA MESA DR,SAN JOSE,4/12/24
30,A0686260,FIDEL,DOG,BLACK,,CHIHUAHUA SH,NEUTERED,,NO AGE,8/8/23,DEAD,DISPO REQ,OTC OWNED,,8/8/23,DISPOSAL,,DEAD,,,8/8/23
31,A0686851,BELLA,CAT,TABBY-ORG,WHITE,DOMESTIC SH,SPAYED,5/14/09,15 YEARS,5/3/24,MED EMERG,STRAY,OTC,,5/8/24,TRANSFER,HSSV,HEALTHY,200 BLOCK EASTSIDE DR,SAN JOSE,5/8/24
32,A0687992,ACE,CAT,BLACK,,DOMESTIC SH,NEUTERED,6/19/05,18 YEARS,9/13/23,DEAD,DISPO REQ,OTC OWNED,,9/13/23,DISPOSAL,,DEAD,,,9/13/23
33,A0688249,ZUKI,DOG,TRICOLOR,,CHIHUAHUA LH,NEUTERED,7/20/09,14 YEARS,11/2/23,MED SEV,STRAY,FIELD,,11/2/23,RTO,LICENSE,MED SEV,1500 BLOCK W SAN CARLOS ST,SAN JOSE,11/2/23
34,A0688582,RUFUS,CAT,TABBY-ORG,WHITE,DOMESTIC LH,NEUTERED,,NO AGE,3/25/24,DEAD,DISPO REQ,OTC OWNED,,3/25/24,DISPOSAL,,DEAD,,SAN JOSE,3/25/24
35,A0689082,THEO,CAT,BLACK,,DOMESTIC SH,NEUTERED,3/14/10,14 YEARS,1/25/24,MED M,STRAY,OTC,,2/16/24,RESCUE,BITTENKTN,MED M,MONTEREY HWY X UMBARGER RD,SAN JOSE,2/16/24
36,A0690109,PEARL,CAT,GRAY,,DOMESTIC SH,SPAYED,6/2/07,16 YEARS,5/19/24,MED EMERG,CONFISCATE,POLICE,,5/19/24,EUTH,U MED SEV,MED EMERG,,,5/19/24
37,A0690109,PEARL,CAT,GRAY,,DOMESTIC SH,SPAYED,6/2/07,16 YEARS,5/19/24,MED EMERG,CONFISCATE,POLICE,,,,,,,,5/24/24
38,A0691583,SPUNKY,DOG,WHITE,,MALTESE,SPAYED,2/1/07,17 YEARS,5/6/24,DEAD,DISPO REQ,OTC,,5/6/24,DISPOSAL,,DEAD,,SAN JOSE,5/6/24
39,A0693446,,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,1/2/24,MED SEV,STRAY,OTC,,1/2/24,EUTH,U CANCER,MED SEV,COLEMAN AVE/ TAYLOR ST,SAN JOSE,1/2/24
40,A0700907,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,7/27/23,DEAD,DISPO REQ,FIELD,,7/27/23,DISPOSAL,,DEAD,1700 BLK YOSEMITE,MILPITAS,7/27/23
41,A0703542,WINK,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,8/18/10,13 YEARS,9/29/23,HEALTHY,CONFISCATE,OWNER DIED,,11/8/23,FOSTER,,HEALTHY,,SAN JOSE,11/8/23
42,A0703542,WINK,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,8/18/10,13 YEARS,11/11/23,MED M,FOSTER,,,11/17/23,ADOPTION,,MED M,,SAN JOSE,11/17/23
43,A0705207,,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,,NO AGE,5/18/24,MED SEV,STRAY,OTC,,5/18/24,EUTH,U MED SEV,MED SEV,STORY RD/ GALAHAD AVE,SAN JOSE,5/18/24
44,A0707609,TENAYA,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,7/28/08,15 YEARS,3/2/24,DEAD,DISPO REQ,OTC,,3/2/24,DISPOSAL,,DEAD,COLONY KNOLL DR / COLONY GREEN DR,SAN JOSE,3/2/24
45,A0709697,PITA,DOG,BROWN,SABLE,CHIHUAHUA SH,SPAYED,8/16/10,13 YEARS,2/29/24,MED SEV,OWNER SUR,OTC,,2/29/24,RTO,WALK IN,HEALTHY,,SAN JOSE,3/20/24
46,A0709697,PITA,DOG,BROWN,SABLE,CHIHUAHUA SH,SPAYED,8/16/10,13 YEARS,2/15/24,MED SEV,EUTH REQ,OTC OWNED,,2/15/24,FOSTER,,MED SEV,,SAN JOSE,2/20/24
47,A0709913,DWIGHT,DOG,WHITE,,MALTESE,NEUTERED,3/13/10,13 YEARS,12/28/23,DEAD,DISPO REQ,OTC,,12/28/23,DISPOSAL,,DEAD,,SAN JOSE,12/28/23
48,A0711203,ABBY,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,7/26/10,13 YEARS,4/7/24,DEAD,DISPO REQ,,,4/7/24,DISPOSAL,,DEAD,KING / KAMMERER,SAN JOSE,4/7/24
49,A0715956,COCOA,DOG,BROWN,,POMERANIAN,SPAYED,,NO AGE,9/14/23,DEAD,DISPO REQ,OTC OWNED,,9/14/23,DISPOSAL,,DEAD,,SAN JOSE,9/14/23
50,A0720401,PRECIOUS,DOG,TAN,,CHIHUAHUA SH,SPAYED,9/15/10,13 YEARS,4/9/24,DEAD,DISPO REQ,OTC,,5/4/24,DISPOSAL,,DEAD,,SAN JOSE,5/4/24
51,A0722443,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,10/18/23,DEAD,DISPO REQ,OTC,,10/18/23,DISPOSAL,,DEAD,GLEN EYRIE AVE,SAN JOSE,10/18/23
52,A0723936,MINA,DOG,BLACK,GRAY,MALTESE,SPAYED,6/9/08,16 YEARS,12/26/23,MED R,STRAY,OTC,,12/27/23,RTO,,,,SAN JOSE,12/27/23
53,A0728739,SCOUT,DOG,GRAY,WHITE,BEARDED COLLIE,NEUTERED,,NO AGE,6/6/24,DEAD,DISPO REQ,OTC,,6/6/24,DISPOSAL,,DEAD,,SAN JOSE,6/6/24
54,A0729623,RIKO,DOG,TAN,,PIT BULL,NEUTERED,9/9/10,13 YEARS,9/9/23,BEH U,CONFISCATE,ASO,,9/19/23,RTO,,BEH U,,SAN JOSE,9/19/23
55,A0733231,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,12/13/23,DEAD,DISPO REQ,OTC,,12/13/23,DISPOSAL,,DEAD,CLOGSTON CT / RINEHART DR,SAN JOSE,12/13/23
56,A0734641,CURLY,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,3/5/11,13 YEARS,1/3/24,MED SEV,STRAY,OTC,,1/14/24,ADOPTION,WALK IN,MED SEV,STORY RD X LUCRIETA AVE,SAN JOSE,1/14/24
57,A0737899,,CAT,BLACK,,DOMESTIC SH,SPAYED,3/14/10,14 YEARS,3/12/24,MED M,STRAY,MEDVET,,3/13/24,RTF,,FERAL,3000 BLOCK ROSSMORE WAY,SAN JOSE,3/16/24
58,A0738122,KOBE,DOG,BLACK,,YORKSHIRE TERR,NEUTERED,11/24/10,13 YEARS,1/12/24,DEAD,DISPO REQ,OTC OWNED,,1/12/24,DISPOSAL,,DEAD,,SAN JOSE,1/12/24
59,A0738884,TIGGER,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,7/31/10,13 YEARS,8/20/23,MED M,STRAY,MEDVET,,8/21/23,RTO,,MED M,1000 BLOCK OF LUTHER AVE,SAN JOSE,8/21/23
60,A0739281,BANDIT,CAT,CREAM,,SIAMESE,NEUTERED,,NO AGE,9/16/23,MED EMERG,STRAY,FIELD,,9/19/23,RTO,MICROCHIP,MED EMERG,2700 BLK CRAMER,SAN JOSE,9/19/23
61,A0739281,BANDIT,CAT,CREAM,,SIAMESE,NEUTERED,,NO AGE,9/17/23,MED M,STRAY,MEDVET,,9/19/23,RTO,MICROCHIP,MED M,2700 BLK CRAMER CIR,SAN JOSE,9/19/23
62,A0740878,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2/26/24,DEAD,DISPO REQ,OTC,,2/26/24,DISPOSAL,,DEAD,300 BLOCK S 19TH ST X E WILLIAM ST,SAN JOSE,2/26/24
63,A0742526,JEWELS,DOG,WHITE,TAN,CHIHUAHUA SH,NEUTERED,4/8/11,13 YEARS,3/25/24,HEALTHY,STRAY,OTC,,3/26/24,RTO,,HEALTHY,N 18TH ST X E MISSION ST,SAN JOSE,3/26/24
64,A0742938,,CAT,GRAY,,DOMESTIC SH,SPAYED,,NO AGE,4/16/24,MED M,STRAY,OTC,,4/16/24,EUTH,U MED SEV,MED SEV,WILLOWMONT AVE X MERIDAN AVE,SAN JOSE,4/16/24
65,A0743425,KEILY,DOG,BROWN,,CHIHUAHUA SH,SPAYED,6/29/07,16 YEARS,4/18/24,DEAD,DISPO REQ,OTC OWNED,,4/18/24,DISPOSAL,,DEAD,,SAN JOSE,4/18/24
66,A0743623,CHARLY,DOG,WHITE,,PBGV,NEUTERED,5/13/11,13 YEARS,2/12/24,HEALTHY,STRAY,OTC,,2/12/24,RTO,,HEALTHY,JUNCTION AVE X JUNCTION CT,SAN JOSE,2/12/24
67,A0745775,DAHLIA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,1/16/11,13 YEARS,1/16/24,MED R,STRAY,OTC,,2/15/24,RESCUE,TONISKITTY,MED R,MONTEREY HWY X UMBARGER,SAN JOSE,2/15/24
68,A0745843,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,6/26/24,MED SEV,STRAY,OTC,,6/27/24,EUTH,U MED SEV,MED SEV,E SAN FERNANDO ST,SAN JOSE,6/27/24
69,A0746306,,CAT,TORBI-BRN,WHITE,DOMESTIC SH,SPAYED,12/18/11,12 YEARS,12/18/23,MED R,STRAY,OTC,,12/29/23,RTF,,HEALTHY,SIERRA MAR DR X GARDENDALE DR,SAN JOSE,12/29/23
70,A0746740,ZIKIE,DOG,WHITE,,MALTESE,NEUTERED,,NO AGE,2/14/24,HEALTHY,STRAY,FIELD,,2/14/24,RTO,,HEALTHY,S WHITE RD X MARTEN AVE,SAN JOSE,2/14/24
71,A0747376,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,12/14/11,12 YEARS,12/14/23,MED R,STRAY,MEDVET,,12/26/23,RTF,,FERAL,0 BLOCK LESTER AVESJ,SAN JOSE,12/26/23
72,A0747376,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,12/14/11,12 YEARS,1/22/24,MED SEV,STRAY,OTC,,1/22/24,EUTH,U CANCER,MED SEV,LESTER AVE X LINCOLN AVE,SAN JOSE,3/7/24
73,A0748274,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,5/2/11,12 YEARS,12/22/23,MED SEV,STRAY,FIELD,,12/22/23,EUTH,,DEAD,TOMASINA CT/ JOSEPH AVE,SAN JOSE,12/22/23
74,A0751651,MEW,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,5/1/24,MED R,STRAY,,,5/3/24,RTO,,HEALTHY,TOURNEY DR X CHERTSEY CT,SAN JOSE,5/3/24
75,A0752222,KLOE,DOG,TAN,,CHINESE SHARPEI,SPAYED,6/20/09,15 YEARS,6/1/24,DEAD,DISPO REQ,OTC OWNED,,6/1/24,DISPOSAL,,DEAD,,SAN JOSE,6/1/24
76,A0753912,SASHA,DOG,ORANGE,,MALTESE,SPAYED,9/17/07,16 YEARS,2/23/24,DEAD,DISPO REQ,OTC OWNED,,2/23/24,DISPOSAL,,DEAD,,SAN JOSE,2/23/24
77,A0755726,CHULA,DOG,TAN,CREAM,CHIHUAHUA SH,SPAYED,9/28/10,13 YEARS,11/26/23,MED M,STRAY,OTC,,11/26/23,RTO,MICROCHIP,MED M,JUNE AVE/PRIMM AVE,SAN JOSE,11/26/23
78,A0759565,KATE,DOG,TAN,WHITE,CHIHUAHUA LH,SPAYED,1/22/11,13 YEARS,5/28/24,DEAD,DISPO REQ,OTC OWNED,,5/28/24,DISPOSAL,,DEAD,,SAN JOSE,5/28/24
79,A0760302,SAM,DOG,BROWN,,WELSH CORGI CAR,NEUTERED,10/22/07,15 YEARS,7/29/23,DEAD,DISPO REQ,OTC,,7/29/23,DISPOSAL,,DEAD,,SAN JOSE,7/29/23
80,A0760687,SPOT,DOG,BLACK,WHITE,CHIHUAHUA SH,MALE,10/24/06,17 YEARS,3/22/24,MED M,STRAY,OTC,,3/23/24,RTO,,MED M,SUMMERSIDE DR X MCLAUGHLIN AVE,SAN JOSE,3/23/24
81,A0761063,XIAOHEI,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,3/26/11,12 YEARS,8/9/23,DEAD,DISPO REQ,OTC OWNED,,8/9/23,DISPOSAL,,DEAD,,,8/9/23
82,A0761483,TITO,DOG,BLACK,,CHIHUAHUA SH,NEUTERED,4/27/11,13 YEARS,2/20/24,HEALTHY,CONFISCATE,HOSPITAL,,2/22/24,RTO,,HEALTHY,,SAN JOSE,2/22/24
83,A0767763,LUCAS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,4/30/11,13 YEARS,5/3/24,DEAD,DISPO REQ,OTC OWNED,,5/3/24,DISPOSAL,,DEAD,,SAN JOSE,5/3/24
84,A0769924,JADA,DOG,BLUE,WHITE,PIT BULL,SPAYED,2/13/10,14 YEARS,1/27/24,HEALTHY,FOSTER,,,1/27/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,1/27/24
85,A0772688,LIZZIE,DOG,TRICOLOR,,CHIHUAHUA SH,SPAYED,3/15/11,13 YEARS,7/3/23,MED M,STRAY,FIELD,,7/3/23,RTO,MICROCHIP,,SENTER RD/ EL CAJON,SAN JOSE,7/3/23
86,A0772856,GIZMO,DOG,BLACK,,PUG,NEUTERED,4/13/10,14 YEARS,12/1/23,MED M,STRAY,FIELD,,12/2/23,RTO,,,GREAK OAKS DR X GREY GHOST AVE,SAN JOSE,12/2/23
87,A0774174,OSO,DOG,BLACK,,LABRADOR RETR,MALE,,NO AGE,5/11/24,MED R,STRAY,OTC,,5/11/24,RTO,WALK IN,MED R,WILLOW ST X SETTLE AVE,SAN JOSE,5/11/24
88,A0774388,,CAT,TABBY-BRN,,DOMESTIC MH,NEUTERED,,NO AGE,12/28/23,DEAD,DISPO REQ,FIELD,,12/28/23,DISPOSAL,,DEAD,2700 BLOCK MONTEREY RD,SAN JOSE,12/28/23
89,A0775944,BELLA,DOG,BLACK,TAN,YORKSHIRE TERR,SPAYED,11/8/08,15 YEARS,5/31/24,DEAD,DISPO REQ,OTC,,5/31/24,DISPOSAL,,DEAD,,SAN JOSE,5/31/24
90,A0777123,,CAT,PT-LILAC,BROWN,DOMESTIC SH,SPAYED,,NO AGE,12/3/23,DEAD,DISPO REQ,OTC,,12/3/23,DISPOSAL,,DEAD,HOBART AVE,SAN JOSE,12/3/23
91,A0777571,BUTTER,DOG,BLACK,BROWN,CHIHUAHUA SH,SPAYED,6/15/11,13 YEARS,12/15/23,HEALTHY,STRAY,OTC,,12/16/23,RTO,MICROCHIP,HEALTHY,PAYNE AVE X SAN TOMAS AQUINO HWY,SAN JOSE,12/16/23
92,A0778542,BUZZ,DOG,TAN,,SHIH TZU,NEUTERED,6/27/11,13 YEARS,7/7/23,MED SEV,EUTH REQ,OTC OWNED,,7/7/23,RTO,,,,,7/7/23
93,A0779843,LOLA,CAT,PT-SEAL,,SIAMESE,SPAYED,5/15/11,13 YEARS,5/8/24,MED R,OWNER SUR,OTC,,5/25/24,ADOPTION,WALK IN,,,SAN JOSE,5/25/24
94,A0779938,HALEY,CAT,BLACK,,DOMESTIC SH,SPAYED,3/15/05,19 YEARS,8/25/23,HEALTHY,STRAY,OTC,,8/25/23,RTO,,HEALTHY,NEWPORT AVE/LAURIE AVE,SAN JOSE,8/25/23
95,A0780174,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,11/27/23,MED SEV,STRAY,OTC,,11/27/23,EUTH,U MED SEV,MED SEV,"S 7TH ST, SAN JOSE CA 95112",SAN JOSE,11/27/23
96,A0780339,,CAT,BLACK,,DOMESTIC SH,NEUTERED,5/9/11,13 YEARS,5/8/24,MED SEV,STRAY,MEDVET,,5/21/24,EUTH,U CANCER,MED SEV,EUGENE AVE,SAN JOSE,5/21/24
97,A0781478,,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,,NO AGE,3/29/24,MED SEV,STRAY,FIELD,,3/29/24,EUTH,U MED SEV,MED SEV,S WHITE RD X MILFORD WAY,SAN JOSE,3/29/24
98,A0781704,SNOOPY,DOG,RED,,BEAGLE,NEUTERED,10/5/10,12 YEARS,7/17/23,DEAD,DISPO REQ,OTC,,7/17/23,DISPOSAL,,DEAD,,SAN JOSE,7/17/23
99,A0782727,PENELOPE,DOG,TAN,,CHIHUAHUA SH,FEMALE,5/5/11,12 YEARS,9/1/23,DEAD,DISPO REQ,OTC,,9/1/23,DISPOSAL,,DEAD,,SAN JOSE,9/1/23
100,A0782901,TIPSY,DOG,BRINDLE-BN,WHITE,CHIHUAHUA SH,SPAYED,11/10/09,14 YEARS,6/27/24,DEAD,DISPO REQ,OTC,,6/27/24,DISPOSAL,,DEAD,MCREERY AVE,SAN JOSE,6/27/24
101,A0783609,,CAT,WHITE,,DOMESTIC SH,NEUTERED,,NO AGE,12/28/23,MED SEV,STRAY,OTC,,12/28/23,EUTH,U CANCER,MED EMERG,S 4TH ST X E SAN SALVADOR ST,SAN JOSE,12/28/23
102,A0786300,RIN,DOG,BLACK,,MALTESE,SPAYED,10/2/11,12 YEARS,4/15/24,HEALTHY,STRAY,OTC,,4/16/24,RTO,,HEALTHY,CAS DR X E CAPITOL EXPY,SAN JOSE,4/16/24
103,A0786359,TINY,DOG,BROWN,,CHIHUAHUA SH,SPAYED,5/8/11,1 YEAR,8/29/23,DEAD,CONFISCATE,ASO,,8/31/23,RTO,,DEAD,,SAN JOSE,8/31/23
104,A0787414,PIE,DOG,CHOCOLATE,WHITE,CHIHUAHUA SH,MALE,12/19/14,8 YEARS,9/12/23,DEAD,DISPO REQ,OTC OWNED,,9/12/23,DISPOSAL,,DEAD,,SAN JOSE,9/12/23
105,A0787682,SHADOW,CAT,PT-SEAL,,DOMESTIC SH,NEUTERED,2/26/15,9 YEARS,2/23/24,MED EMERG,EUTH REQ,FIELD OWN,,3/7/24,RTO,,,,SAN JOSE,3/7/24
106,A0795995,TIPPED,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,,NO AGE,4/17/24,DEAD,DISPO REQ,OTC,,4/17/24,DISPOSAL,,DEAD,MANZANITA CT X BLUE SPRUCE WAY,MILPITAS,4/17/24
107,A0796633,INDY,DOG,TAN,WHITE,PIT BULL,SPAYED,6/25/12,11 YEARS,9/20/23,DEAD,DISPO REQ,OTC OWNED,,9/20/23,DISPOSAL,,DEAD,,,9/20/23
108,A0799377,CHARLIE,DOG,WHITE,,MALTESE,NEUTERED,11/24/11,12 YEARS,1/16/24,HEALTHY,STRAY,OTC,IP ADOPT,1/17/24,RTO,WALK IN,HEALTHY,BRIAR RIDGE DR/BLOSSOM HILL RD,SAN JOSE,1/17/24
109,A0803229,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,11/30/12,11 YEARS,11/30/23,MED SEV,STRAY,OTC,,12/12/23,RTF,,FERAL,1100 BLOCK MAXEY CT X LENARK DR,SAN JOSE,12/12/23
110,A0803578,BEASTY,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,4/13/12,12 YEARS,1/6/24,HEALTHY,OWNER SUR,OTC,,1/31/24,TRANSFER,OTHER AGEN,HEALTHY,,SAN JOSE,1/31/24
111,A0803579,HARRY,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,4/13/12,12 YEARS,1/6/24,HEALTHY,OWNER SUR,OTC,,2/6/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2/6/24
112,A0803580,J.B,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,4/13/12,12 YEARS,1/6/24,HEALTHY,OWNER SUR,OTC,,2/22/24,RESCUE,TOWN CATS,HEALTHY,,SAN JOSE,2/22/24
113,A0803581,CALI,CAT,CALICO-TRI,WHITE,DOMESTIC SH,SPAYED,4/13/12,12 YEARS,1/6/24,HEALTHY,OWNER SUR,OTC,,1/12/24,ADOPTION,,HEALTHY,,SAN JOSE,1/12/24
114,A0804474,TIPPED,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,,NO AGE,2/16/24,MED M,STRAY,MEDVET,,2/17/24,RTO,,MED M,BLK 2500 ABORN RD,SAN JOSE,2/17/24
115,A0804483,SHILOH,DOG,BLACK,WHITE,SIBERIAN HUSKY,FEMALE,12/24/11,11 YEARS,7/28/23,DEAD,DISPO REQ,OTC,,7/28/23,DISPOSAL,,DEAD,,,7/28/23
